,Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,1.0,0.42857142857142855,0.4222222222222222,0.6730769230769231,0.3023255813953488,0.2459016393442623,0.2765957446808511,0.1956521739130435,0.24444444444444444,0.3111111111111111,0.5531914893617021,0.45098039215686275,0.3023255813953488,0.7111111111111111,0.27941176470588236,0.417910447761194,0.5076923076923077,0.5625
Lunaspis,0.42857142857142855,1.0,0.631578947368421,0.38461538461538464,0.41025641025641024,0.56,0.4878048780487805,0.23255813953488372,0.26666666666666666,0.4878048780487805,0.48,0.4,0.4878048780487805,0.44680851063829785,0.34210526315789475,0.24285714285714285,0.2727272727272727,0.2909090909090909
Entelognathus,0.4222222222222222,0.631578947368421,1.0,0.46551724137931033,0.45,0.5098039215686274,0.5116279069767442,0.25,0.2857142857142857,0.575,0.5238095238095238,0.33962264150943394,0.3953488372093023,0.44680851063829785,0.28378378378378377,0.35384615384615387,0.31666666666666665,0.3695652173913043
Eusthenopteron,0.6730769230769231,0.38461538461538464,0.46551724137931033,1.0,0.19148936170212766,0.19607843137254902,0.23404255319148937,0.18,0.19148936170212766,0.24489795918367346,0.43137254901960786,0.48,0.2765957446808511,0.574468085106383,0.323943661971831,0.515625,0.6724137931034483,0.5517241379310345
Cowralepis,0.3023255813953488,0.41025641025641024,0.45,0.19148936170212766,1.0,0.4523809523809524,0.5,0.2692307692307692,0.2727272727272727,0.5454545454545454,0.35,0.2549019607843137,0.4411764705882353,0.38235294117647056,0.2537313432835821,0.1,0.16666666666666666,0.10869565217391304
Eurycaraspis,0.2459016393442623,0.56,0.5098039215686274,0.19607843137254902,0.4523809523809524,1.0,0.6444444444444445,0.18604651162790697,0.24,0.4772727272727273,0.40816326530612246,0.43137254901960786,0.4358974358974359,0.4318181818181818,0.3466666666666667,0.18181818181818182,0.2676056338028169,0.29310344827586204
Diandongpetalichthys,0.2765957446808511,0.4878048780487805,0.5116279069767442,0.23404255319148937,0.5,0.6444444444444445,1.0,0.25,0.4,0.5882352941176471,0.4186046511627907,0.3442622950819672,0.5,0.34146341463414637,0.37681159420289856,0.21212121212121213,0.2463768115942029,0.2
Meemannia,0.1956521739130435,0.23255813953488372,0.25,0.18,0.2692307692307692,0.18604651162790697,0.25,1.0,0.6,0.4666666666666667,0.2631578947368421,0.27450980392156865,0.2972972972972973,0.24324324324324326,0.11594202898550725,0.21875,0.14754098360655737,0.2608695652173913
Dialipina,0.24444444444444444,0.26666666666666666,0.2857142857142857,0.19148936170212766,0.2727272727272727,0.24,0.4,0.6,1.0,0.45714285714285713,0.375,0.3157894736842105,0.42857142857142855,0.2857142857142857,0.11594202898550725,0.23809523809523808,0.11475409836065574,0.21739130434782608
Wuttagoonaspis,0.3111111111111111,0.4878048780487805,0.575,0.24489795918367346,0.5454545454545454,0.4772727272727273,0.5882352941176471,0.4666666666666667,0.45714285714285713,1.0,0.475,0.3191489361702128,0.4473684210526316,0.36585365853658536,0.25757575757575757,0.14516129032258066,0.22413793103448276,0.20754716981132076
Actinolepis,0.5531914893617021,0.48,0.5238095238095238,0.43137254901960786,0.35,0.40816326530612246,0.4186046511627907,0.2631578947368421,0.375,0.475,1.0,0.4074074074074074,0.358974358974359,0.5263157894736842,0.29411764705882354,0.27419354838709675,0.36666666666666664,0.3076923076923077
Romundina,0.45098039215686275,0.4,0.33962264150943394,0.48,0.2549019607843137,0.43137254901960786,0.3442622950819672,0.27450980392156865,0.3157894736842105,0.3191489361702128,0.4074074074074074,1.0,0.2909090909090909,0.39215686274509803,0.36,0.34375,0.38333333333333336,0.3220338983050847
