,Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lunaspis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entelognathus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eusthenopteron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cowralepis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurycaraspis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diandongpetalichthys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meemannia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dialipina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wuttagoonaspis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinolepis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romundina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bothriolepis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buchanosteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brindabellaspis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moythomasia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guiyu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheirolepis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
