Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,12,12,10,9,13,11,7,15,5,7,7,12,5,14,9,13,13
Lunaspis,12,0,7,13,7,7,8,9,14,10,9,11,12,9,14,15,16,16
Entelognathus,12,7,0,9,8,8,5,11,12,11,9,13,11,8,11,13,18,12
Eusthenopteron,10,13,9,0,9,12,8,12,12,14,8,16,17,8,18,8,13,11
Cowralepis,9,7,8,9,0,5,5,6,9,7,7,8,11,6,13,10,11,10
Eurycaraspis,13,7,8,12,5,0,2,9,11,8,7,11,11,10,9,11,19,12
Diandongpetalichthys,11,8,5,8,5,2,0,10,9,8,7,7,9,8,9,17,18,12
Meemannia,7,9,11,12,6,9,10,0,7,5,10,13,10,5,15,8,15,7
Dialipina,15,14,12,12,9,11,9,7,0,8,7,15,10,10,18,11,17,11
Wuttagoonaspis,5,10,11,14,7,8,8,5,8,0,8,8,7,6,12,14,18,13
Actinolepis,7,9,9,8,7,7,7,10,7,8,0,8,9,3,14,8,10,13
Romundina,7,11,13,16,8,11,7,13,15,8,8,0,8,8,13,15,23,19
Bothriolepis,12,12,11,17,11,11,9,10,10,7,9,8,0,11,14,17,19,18
Buchanosteus,5,9,8,8,6,10,8,5,10,6,3,8,11,0,13,9,13,7
Brindabellaspis,14,14,11,18,13,9,9,15,18,12,14,13,14,13,0,23,34,17
Moythomasia,9,15,13,8,10,11,17,8,11,14,8,15,17,9,23,0,18,12
Guiyu,13,16,18,13,11,19,18,15,17,18,10,23,19,13,34,18,0,21
Cheirolepis,13,16,12,11,10,12,12,7,11,13,13,19,18,7,17,12,21,0
