Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,18,12,7,14,16,15,15,18,13,8,14,17,5,30,19,14,17
Lunaspis,18,0,10,21,7,5,7,16,19,8,13,16,11,11,21,27,28,22
Entelognathus,12,10,0,17,10,11,8,13,11,6,11,16,17,8,24,27,23,16
Eusthenopteron,7,21,17,0,18,21,15,18,15,18,14,16,20,7,28,14,14,17
Cowralepis,14,7,10,18,0,10,10,12,12,6,14,22,11,11,26,36,29,24
Eurycaraspis,16,5,11,21,10,0,3,17,21,9,11,17,13,14,22,32,32,25
Diandongpetalichthys,15,7,8,15,10,3,0,14,17,8,15,16,10,12,28,36,33,24
Meemannia,15,16,13,18,12,17,14,0,7,7,18,22,16,15,38,34,37,26
Dialipina,18,19,11,15,12,21,17,7,0,15,20,20,17,13,33,25,32,24
Wuttagoonaspis,13,8,6,18,6,9,8,7,15,0,11,17,11,14,27,28,29,25
Actinolepis,8,13,11,14,14,11,15,18,20,11,0,12,15,6,28,29,27,22
Romundina,14,16,16,16,22,17,16,22,20,17,12,0,14,12,24,26,28,24
Bothriolepis,17,11,17,20,11,13,10,16,17,11,15,14,0,19,33,41,35,26
Buchanosteus,5,11,8,7,11,14,12,15,13,14,6,12,19,0,34,23,20,20
Brindabellaspis,30,21,24,28,26,22,28,38,33,27,28,24,33,34,0,31,28,28
Moythomasia,19,27,27,14,36,32,36,34,25,28,29,26,41,23,31,0,26,16
Guiyu,14,28,23,14,29,32,33,37,32,29,27,28,35,20,28,26,0,22
Cheirolepis,17,22,16,17,24,25,24,26,24,25,22,24,26,20,28,16,22,0
