Meemannia,Eurycaraspis,Actinolepis,Dicksonosteus,Cowralepis,Eusthenopteron,Wuttagoonaspis,Dialipina,Guiyu,Bothriolepis,Diandongpetalichthys,Lunaspis,Romundina,Moythomasia,Brindabellaspis,Entelognathus,Buchanosteus,Cheirolepis
Meemannia,0,11,10,8,9,11,4,5,15,7,8,10,12,16,0,0,0,0
Eurycaraspis,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinolepis,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicksonosteus,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cowralepis,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eusthenopteron,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wuttagoonaspis,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dialipina,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guiyu,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bothriolepis,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diandongpetalichthys,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lunaspis,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romundina,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moythomasia,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brindabellaspis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entelognathus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buchanosteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheirolepis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
