Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,18,11,7,10,16,15,15,16,9,7,13,17,5,23,14,12,13
Lunaspis,18,0,10,16,6,5,7,16,16,6,12,16,11,11,15,22,20,19
Entelognathus,11,10,0,11,10,11,8,13,11,6,11,14,16,8,17,22,20,16
Eusthenopteron,7,16,11,0,16,19,15,18,15,16,12,16,19,7,22,12,12,17
Cowralepis,10,6,10,16,0,7,7,10,12,6,13,15,11,9,17,22,22,15
Eurycaraspis,16,5,11,19,7,0,3,13,15,8,11,14,13,12,19,28,24,20
Diandongpetalichthys,15,7,8,15,7,3,0,11,13,8,9,10,10,12,13,20,23,20
Meemannia,15,16,13,18,10,13,11,0,4,7,14,15,13,11,25,12,22,10
Dialipina,16,16,11,15,12,15,13,4,0,11,16,16,17,13,24,19,23,18
Wuttagoonaspis,9,6,6,16,6,8,8,7,11,0,9,14,11,10,20,21,17,20
Actinolepis,7,12,11,12,13,11,9,14,16,9,0,9,15,6,20,21,18,19
Romundina,13,16,14,16,15,14,10,15,16,14,9,0,14,12,19,24,23,21
Bothriolepis,17,11,16,19,11,13,10,13,17,11,15,14,0,16,20,30,25,25
Buchanosteus,5,11,8,7,9,12,12,11,13,10,6,12,16,0,23,15,10,15
Brindabellaspis,23,15,17,22,17,19,13,25,24,20,20,19,20,23,0,26,25,22
Moythomasia,14,22,22,12,22,28,20,12,19,21,21,24,30,15,26,0,22,16
Guiyu,12,20,20,12,22,24,23,22,23,17,18,23,25,10,25,22,0,19
Cheirolepis,13,19,16,17,15,20,20,10,18,20,19,21,25,15,22,16,19,0
