Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,24,16,12,21,22,25,11,25,16,14,24,32,8,25,16,25,19
Lunaspis,24,0,15,26,14,15,17,24,29,16,17,23,19,19,25,34,31,24
Entelognathus,16,15,0,17,13,16,8,18,22,13,19,28,23,17,26,26,30,23
Eusthenopteron,12,26,17,0,24,35,19,29,28,26,24,26,32,13,25,25,19,20
Cowralepis,21,14,13,24,0,11,13,14,20,8,18,22,20,17,23,49,24,25
Eurycaraspis,22,15,16,35,11,0,5,23,25,14,18,14,29,20,27,26,48,34
Diandongpetalichthys,25,17,8,19,13,5,0,21,12,11,15,20,17,13,24,33,42,30
Meemannia,11,24,18,29,14,23,21,0,10,17,25,25,22,19,36,31,38,16
Dialipina,25,29,22,28,20,25,12,10,0,18,23,19,21,19,45,30,32,29
Wuttagoonaspis,16,16,13,26,8,14,11,17,18,0,11,23,14,14,29,32,31,23
Actinolepis,14,17,19,24,18,18,15,25,23,11,0,23,22,13,31,25,29,29
Romundina,24,23,28,26,22,14,20,25,19,23,23,0,27,18,28,38,42,43
Bothriolepis,32,19,23,32,20,29,17,22,21,14,22,27,0,26,35,38,40,42
Buchanosteus,8,19,17,13,17,20,13,19,19,14,13,18,26,0,32,21,24,21
Brindabellaspis,25,25,26,25,23,27,24,36,45,29,31,28,35,32,0,41,39,36
Moythomasia,16,34,26,25,49,26,33,31,30,32,25,38,38,21,41,0,36,18
Guiyu,25,31,30,19,24,48,42,38,32,31,29,42,40,24,39,36,0,31
Cheirolepis,19,24,23,20,25,34,30,16,29,23,29,43,42,21,36,18,31,0
