boop1 boop2 pars
Romundina Diandongpetalichthys 8
Diandongpetalichthys Buchanosteus 9
Entelognathus Cowralepis 9
Cheirolepis Bothriolepis 19
Dicksonosteus Brindabellaspis 13
Romundina Actinolepis 8
Entelognathus Eurycaraspis 10
Eusthenopteron Lunaspis 13
Lunaspis Guiyu 20
Bothriolepis Cowralepis 10
Romundina Brindabellaspis 13
Cheirolepis Wuttagoonaspis 13
Dialipina Lunaspis 14
Lunaspis Wuttagoonaspis 11
Dicksonosteus Cowralepis 9
Actinolepis Brindabellaspis 13
Romundina Dialipina 12
Entelognathus Lunaspis 12
Cheirolepis Dicksonosteus 11
Eusthenopteron Brindabellaspis 20
Meemannia Eurycaraspis 7
Cowralepis Buchanosteus 6
Romundina Entelognathus 15
Entelognathus Bothriolepis 12
Cheirolepis Buchanosteus 9
Dialipina Actinolepis 8
Lunaspis Dicksonosteus 11
Moythomasia Bothriolepis 22
Cowralepis Eurycaraspis 5
Romundina Wuttagoonaspis 9
Diandongpetalichthys Guiyu 17
Eusthenopteron Moythomasia 8
Dialipina Wuttagoonaspis 8
Lunaspis Brindabellaspis 13
Meemannia Bothriolepis 9
Wuttagoonaspis Buchanosteus 6
Bothriolepis Buchanosteus 10
Diandongpetalichthys Entelognathus 6
Diandongpetalichthys Actinolepis 7
Diandongpetalichthys Eurycaraspis 2
Entelognathus Dialipina 14
Cheirolepis Moythomasia 8
Eusthenopteron Bothriolepis 15
Dicksonosteus Bothriolepis 13
Actinolepis Wuttagoonaspis 10
Wuttagoonaspis Bothriolepis 7
Bothriolepis Eurycaraspis 11
Diandongpetalichthys Cheirolepis 13
Entelognathus Meemannia 12
Cheirolepis Guiyu 21
Lunaspis Meemannia 11
Dicksonosteus Wuttagoonaspis 5
Moythomasia Buchanosteus 9
Meemannia Guiyu 11
Eurycaraspis Buchanosteus 10
Romundina Lunaspis 11
Entelognathus Dicksonosteus 12
Cheirolepis Eurycaraspis 17
Dicksonosteus Actinolepis 7
Dicksonosteus Guiyu 15
Meemannia Brindabellaspis 16
Romundina Eurycaraspis 11
Entelognathus Eusthenopteron 10
Dialipina Brindabellaspis 22
Actinolepis Bothriolepis 9
Wuttagoonaspis Guiyu 14
Diandongpetalichthys Eusthenopteron 10
Entelognathus Moythomasia 13
Eusthenopteron Guiyu 13
Lunaspis Moythomasia 17
Meemannia Cowralepis 6
Brindabellaspis Eurycaraspis 11
Diandongpetalichthys Dialipina 10
Diandongpetalichthys Meemannia 9
Entelognathus Cheirolepis 12
Eusthenopteron Dialipina 12
Dialipina Dicksonosteus 16
Lunaspis Buchanosteus 10
Moythomasia Wuttagoonaspis 15
Brindabellaspis Cowralepis 11
Diandongpetalichthys Dicksonosteus 12
Entelognathus Wuttagoonaspis 11
Cheirolepis Brindabellaspis 22
Guiyu Buchanosteus 12
Romundina Meemannia 11
Diandongpetalichthys Cowralepis 5
Entelognathus Brindabellaspis 13
Dialipina Meemannia 7
Dialipina Cowralepis 9
Lunaspis Cowralepis 7
Dicksonosteus Eurycaraspis 13
Actinolepis Cowralepis 7
Brindabellaspis Wuttagoonaspis 16
Diandongpetalichthys Lunaspis 7
Diandongpetalichthys Brindabellaspis 9
Cheirolepis Cowralepis 10
Eusthenopteron Eurycaraspis 11
Moythomasia Actinolepis 8
Actinolepis Buchanosteus 6
Brindabellaspis Bothriolepis 13
Romundina Cowralepis 8
Entelognathus Guiyu 20
Dialipina Buchanosteus 10
Dicksonosteus Meemannia 7
Moythomasia Guiyu 17
Brindabellaspis Buchanosteus 15
Romundina Dicksonosteus 8
Diandongpetalichthys Wuttagoonaspis 9
Entelognathus Actinolepis 8
Cheirolepis Lunaspis 17
Dialipina Bothriolepis 10
Lunaspis Bothriolepis 10
Moythomasia Meemannia 8
Actinolepis Eurycaraspis 8
Wuttagoonaspis Eurycaraspis 8
Guiyu Cowralepis 12
Romundina Eusthenopteron 17
Cheirolepis Eusthenopteron 12
Eusthenopteron Wuttagoonaspis 14
Lunaspis Actinolepis 12
Moythomasia Eurycaraspis 10
Bothriolepis Guiyu 16
Romundina Bothriolepis 14
Diandongpetalichthys Bothriolepis 12
Cheirolepis Dialipina 11
Eusthenopteron Dicksonosteus 10
Dialipina Moythomasia 10
Lunaspis Eurycaraspis 6
Moythomasia Brindabellaspis 22
Romundina Guiyu 26
Eusthenopteron Cowralepis 15
Dicksonosteus Moythomasia 12
Actinolepis Guiyu 10
Guiyu Eurycaraspis 19
Romundina Buchanosteus 8
Entelognathus Buchanosteus 9
Cheirolepis Meemannia 7
Eusthenopteron Actinolepis 9
Dialipina Guiyu 18
Actinolepis Meemannia 10
Meemannia Wuttagoonaspis 5
Brindabellaspis Guiyu 32
Dicksonosteus Buchanosteus 5
Meemannia Buchanosteus 5
Eusthenopteron Buchanosteus 8
Dialipina Eurycaraspis 12
Eusthenopteron Meemannia 12
Cheirolepis Actinolepis 13
Moythomasia Cowralepis 13
Romundina Moythomasia 20
Diandongpetalichthys Moythomasia 13
Romundina Cheirolepis 19
