Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,11,12,10,9,13,12,7,16,5,7,8,13,5,13,12,15,11
Lunaspis,11,0,12,13,7,6,7,11,14,11,12,11,10,10,13,17,20,17
Entelognathus,12,12,0,10,9,10,6,12,14,11,8,15,12,9,13,13,20,12
Eusthenopteron,10,13,10,0,15,11,10,12,12,14,9,17,15,8,20,8,13,12
Cowralepis,9,7,9,15,0,5,5,6,9,0,7,8,10,6,11,13,12,10
Eurycaraspis,13,6,10,11,5,0,2,7,12,8,8,11,11,10,11,10,19,17
Diandongpetalichthys,12,7,6,10,5,2,0,9,10,9,7,8,12,9,9,13,17,13
Meemannia,7,11,12,12,6,7,9,0,7,5,10,11,9,5,16,8,11,7
Dialipina,16,14,14,12,9,12,10,7,0,8,8,12,10,10,22,10,18,11
Wuttagoonaspis,5,11,11,14,0,8,9,5,8,0,10,9,7,6,16,15,14,13
Actinolepis,7,12,8,9,7,8,7,10,8,10,0,8,9,6,13,8,10,13
Romundina,8,11,15,17,8,11,8,11,12,9,8,0,14,8,13,20,26,19
Bothriolepis,13,10,12,15,10,11,12,9,10,7,9,14,0,10,13,22,16,19
Buchanosteus,5,10,9,8,6,10,9,5,10,6,6,8,10,0,15,9,12,9
Brindabellaspis,13,13,13,20,11,11,9,16,22,16,13,13,13,15,0,22,32,22
Moythomasia,12,17,13,8,13,10,13,8,10,15,8,20,22,9,22,0,17,8
Guiyu,15,20,20,13,12,19,17,11,18,14,10,26,16,12,32,17,0,21
Cheirolepis,11,17,12,12,10,17,13,7,11,13,13,19,19,9,22,8,21,0
