,size order,Middle,eyes,body,left,right
1,3,1000,0,0,0,0
2,3,1000,0,0,0,0
3,3,1000,0,0,0,0
L4,1,0,0,0,1,0
R4,1,0,0,0,0,1
L6,1,0,0,0,1,0
R6,1,0,0,0,0,1
L8,1,0,0,0,1,0
R8,1,0,0,0,0,1
L11,1,0,0,0,1,0
R11,1,0,0,0,0,1
L14,1,0,0,0,1,0
L15,1,0,0,0,1,0
R15,1,0,0,0,0,1
R14,1,0,0,0,0,1
L18,3,0,1000,0,1,0
R18,3,0,1000,0,0,1
L20,1,0,0,0,1,0
L21,1,0,0,0,1,0
R21,1,0,0,0,0,1
R20,1,0,0,0,0,1
L24,1,0,0,0,1,0
L25,1,0,0,0,1,0
L26,1,0,0,0,1,0
R26,1,0,0,0,0,1
R25,1,0,0,0,0,1
R24,1,0,0,0,0,1
L30,1,0,0,0,1,0
R30,1,0,0,0,0,1
L32,1,0,0,0,1,0
R32,1,0,0,0,0,1
body,3,1000,0,1000,0,0
